anchor_slug,neighbor_slug,shared_moves_k,anchor_total_n
iceberg-lettuce,red-potato,1,6
iceberg-lettuce,ribeye,1,6
iceberg-lettuce,serrano-pepper,1,6
iceberg-lettuce,spinach,1,6
iceberg-lettuce,zucchini,1,6
jalapeno,butternut-squash,2,6
jalapeno,cabbage,2,6
jalapeno,cherry-tomato,2,6
jalapeno,corn-on-the-cob,2,6
jalapeno,poblano-pepper,2,6
jalapeno,red-onion,2,6
jalapeno,vegetable-oil,2,6
jalapeno,acorn-squash,1,6
jalapeno,asparagus,1,6
jalapeno,bell-pepper,1,6
jalapeno,brussels-sprouts,1,6
jalapeno,carrot,1,6
jalapeno,celery,1,6
jalapeno,chicken-breast,1,6
jalapeno,chicken-thigh,1,6
jalapeno,collard-greens,1,6
jalapeno,dill,1,6
jalapeno,eggplant,1,6
jalapeno,garlic,1,6
jalapeno,green-beans,1,6
jalapeno,kale,1,6
jalapeno,lime,1,6
jalapeno,napa-cabbage,1,6
jalapeno,parsley,1,6
jalapeno,ribeye,1,6
jalapeno,serrano-pepper,1,6
jalapeno,striploin,1,6
jalapeno,tomato,1,6
jalapeno,watermelon,1,6
jalapeno,yellow-squash,1,6
jalapeno,zucchini,1,6
kale,cabbage,3,6
kale,artichoke,2,6
kale,butternut-squash,2,6
kale,collard-greens,2,6
kale,eggplant,2,6
kale,leek,2,6
kale,red-onion,2,6
kale,acorn-squash,1,6
kale,asparagus,1,6
kale,blueberry,1,6
kale,broccoli,1,6
kale,brussels-sprouts,1,6
kale,cherry-tomato,1,6
kale,corn-on-the-cob,1,6
kale,jalapeno,1,6
kale,lime,1,6
kale,napa-cabbage,1,6
kale,raspberry,1,6
kale,red-leaf-lettuce,1,6
kale,romaine-lettuce,1,6
kale,serrano-pepper,1,6
kale,short-rib,1,6
kale,spinach,1,6
kale,watermelon,1,6
kale,zucchini,1,6
leek,artichoke,3,6
leek,collard-greens,3,6
leek,cauliflower,2,6
leek,eggplant,2,6
leek,iceberg-lettuce,2,6
leek,kale,2,6
leek,beef-tenderloin,1,6
leek,broccoli,1,6
